iter	RMSE
475	62333.98484
476	62333.24077
477	62332.50966
478	62331.69064
479	62330.9754
480	62330.18936
481	62329.48956
482	62328.80192
483	62328.1262
484	62327.46217
485	62326.80961
486	62326.06649
487	62325.42791
488	62324.80032
489	62324.18354
490	62323.57734
491	62322.9562
492	62322.27179
493	62321.68025
494	62321.0233
495	62320.4443
496	62319.87521
497	62319.31586
498	62318.76607
499	62318.22564
500	62317.69441
501	62317.14704
502	62316.62639
503	62316.11459
504	62315.59007
505	62315.01121
506	62314.51162
507	62313.95593
508	62313.46679
509	62312.98595
510	62312.51324
511	62312.04852
512	62311.59164
513	62311.14244
514	62310.7008
515	62310.26657
516	62309.83961
517	62309.4198
518	62309.00701
519	62308.60109
520	62308.20194
521	62307.80943
522	62307.42343
523	62307.04384
524	62306.67053
525	62306.30339
526	62305.94231
527	62305.58719
528	62305.23791
529	62304.89437
530	62304.55647
531	62304.22411
532	62303.89719
533	62303.57562
534	62303.25929
535	62302.94813
536	62302.64203
537	62302.3409
538	62302.04467
539	62301.75324
540	62301.42295
541	62301.14089
542	62300.82122
543	62300.54821
544	62300.23879
545	62299.93501
546	62299.63675
547	62299.38091
548	62299.12916
549	62298.84445
550	62298.6007
551	62298.32503
552	62298.05434
553	62297.82207
554	62297.55994
555	62297.33501
556	62297.08116
557	62296.83184
558	62296.61745
559	62296.40644
560	62296.1683
561	62295.93441
562	62295.73324
563	62295.53524
564	62295.31179
565	62295.11997
566	62294.93117
567	62294.74533
568	62294.5624
569	62294.38235
570	62294.20511
571	62294.03064
572	62293.8589
573	62293.68984
574	62293.52342
575	62293.33186
576	62293.17058
577	62293.0118
578	62292.85549
579	62292.7016
580	62292.55011
581	62292.40096
582	62292.22724
583	62292.08266
584	62291.94032
585	62291.80017
586	62291.66219
587	62291.52634
588	62291.39258
589	62291.23481
590	62291.10513
591	62290.97744
592	62290.85171
593	62290.72791
594	62290.58075
595	62290.4607
596	62290.3425
597	62290.2261
598	62290.11148
599	62289.97413
600	62289.86298
601	62289.75352
602	62289.64573
603	62289.53958
604	62289.41132
605	62289.30837
606	62289.20698
607	62289.10713
608	62289.0088
609	62288.88896
610	62288.79358
611	62288.69964
612	62288.60712
613	62288.49372
614	62288.40397
615	62288.31558
616	62288.22853
617	62288.12118
618	62288.03672
619	62287.95354
620	62287.87161
621	62287.79091
622	62287.69048
623	62287.61218
624	62287.53506
625	62287.4388
626	62287.36397
627	62287.29026
628	62287.21766
629	62287.12647
630	62287.05602
631	62286.98662
632	62286.91826
633	62286.50932
634	62286.11689
635	62286.03166
636	62285.96599
637	62285.9013
638	62285.52591
639	62285.44473
640	62285.38227
641	62285.32073
642	62285.26012
643	62285.13484
644	62285.07587
645	62284.95505
646	62284.88142
647	62284.8249
648	62284.76921
649	62284.71436
650	62284.60036
651	62284.54698
652	62284.43704
653	62284.08896
654	62284.02258
655	62283.97166
656	62283.92149
657	62283.58831
658	62283.53912
659	62283.43922
660	62283.12146
661	62283.0603
662	62283.01335
663	62282.96711
664	62282.92155
665	62282.61753
666	62282.52655
667	62282.23629
668	62282.19233
669	62282.1366
670	62282.09394
671	62282.05191
672	62281.77413
673	62281.73291
674	62281.65037
675	62281.38522
676	62281.34526
677	62281.26686
678	62281.01367
679	62280.97493
680	62280.92574
681	62280.88814
682	62280.85111
683	62280.60872
684	62280.57238
685	62280.53657
686	62280.46564
687	62280.23423
688	62280.19951
689	62280.13201
690	62279.91089
691	62279.87722
692	62279.83425
693	62279.80157
694	62279.58969
695	62279.55761
696	62279.52601
697	62279.49489
698	62279.46422
699	62279.4246
700	62279.38572
701	62279.18309
702	62279.14512
703	62279.10786
704	62279.07129
705	62279.03539
706	62279.00015
707	62278.96556
708	62278.93159
709	62278.89825
710	62278.86551
711	62278.83336
712	62278.80179
713	62278.57594
714	62278.54535
715	62278.5153
716	62278.48579
717	62278.4568
718	62278.24108
719	62278.21297
720	62278.18536
721	62278.15823
722	62277.95176
723	62277.92545
724	62277.8996
725	62277.8742
726	62277.84924
727	62277.65189
728	62277.62767
729	62277.60387
730	62277.58048
731	62277.55748
732	62277.36881
733	62277.34649
734	62277.32455
735	62277.30299
736	62277.28179
737	62277.10135
738	62277.08076
739	62277.06052
740	62277.04062
741	62277.02106
742	62276.84846
743	62276.72183
744	62276.60026
745	62276.48355
746	62276.37149
747	62276.26387
748	62276.16051
749	62276.14086
750	62276.04146
751	62276.02204
752	62276.00296
753	62275.90502
754	62275.88623
755	62275.79349
756	62275.77491
757	62275.75667
758	62275.66734
759	62275.65314
760	62275.63532
761	62275.54699
762	62275.53327
763	62275.51976
764	62275.5026
765	62275.41952
766	62275.40648
767	62275.39363
768	62275.31165
769	62275.29905
770	62275.28663
771	62275.2744
772	62275.25829
773	62275.18124
774	62275.16943
775	62275.1578
776	62275.08171
777	62275.05616
778	62275.03134
779	62275.00722
780	62274.98379
781	62274.96102
782	62274.93888
783	62274.92827
784	62274.91782
785	62274.90752
786	62274.89738
787	62274.88739
788	62274.87396
789	62274.86078
790	62274.84786
791	62274.83518
792	62274.82274
793	62274.81053
794	62274.79856
795	62274.7868
796	62274.77527
797	62274.76395
798	62274.75284
799	62274.74194
800	62274.64169
801	62274.63113
802	62274.62077
803	62274.61059
804	62274.6006
805	62274.50472
806	62274.49504
807	62274.48553
808	62274.4762
809	62274.38434
810	62274.37529
811	62274.36641
812	62274.35768
813	62274.34911
814	62274.2612
815	62274.25288
816	62274.24472
817	62274.2367
818	62274.15245
819	62274.14467
820	62274.13702
821	62274.12951
822	62274.12213
823	62274.04147
824	62274.0343
825	62274.02727
826	62274.02035
827	62273.94302
828	62273.9363
829	62273.9297
830	62273.92322
831	62273.91684
832	62273.84277
833	62273.83658
834	62273.8305
835	62273.82451
836	62273.81863
837	62273.74767
838	62273.74196
839	62273.73634
840	62273.73082
841	62273.67329
842	62273.62269
843	62273.57407
844	62273.52736
845	62273.48247
846	62273.43934
847	62273.39672
848	62273.35659
849	62273.31695
850	62273.27961
851	62273.24371
852	62273.2393
853	62273.23495
854	62273.19921
855	62273.19495
856	62273.19074
857	62273.1866
858	62273.15328
859	62273.11156
860	62273.07146
861	62273.03293
862	62272.9959
863	62272.96031
864	62272.92611
865	62272.89323
866	62272.86343
867	62272.8348
868	62272.82944
869	62272.82419
870	62272.82037
871	62272.8166
872	62272.8129
873	62272.80925
874	62272.80565
875	62272.80211
876	62272.79862
877	62272.79519
878	62272.7876
879	62272.78426
880	62272.77967
881	62272.77518
882	62272.75136
883	62272.74691
884	62272.74256
885	62272.71957
886	62272.71526
887	62272.71103
888	62272.68885
889	62272.68467
890	62272.68057
891	62272.65915
892	62272.6551
893	62272.65113
894	62272.63045
895	62272.62652
896	62272.60659
897	62272.60271
898	62272.5989
899	62272.57965
900	62272.57589
901	62272.57219
902	62272.55294
903	62272.54929
904	62272.54572
905	62272.52765
906	62272.52411
907	62272.52065
908	62272.5032
909	62272.49977
910	62272.49641
911	62272.47886
912	62272.47554
913	62272.45918
914	62272.4559
915	62272.45268
916	62272.43625
917	62272.43308
918	62272.42996
919	62272.41459
920	62272.41151
921	62272.40849
922	62272.39308
923	62272.3901
924	62272.37568
925	62272.37273
926	62272.36984
927	62272.35592
928	62272.35306
929	62272.35026
930	62272.3362
931	62272.33343
932	62272.33072
933	62272.31763
934	62272.31494
935	62272.31231
936	62272.29912
937	62272.29652
938	62272.28424
939	62272.28166
940	62272.27915
941	62272.26678
942	62272.26256
943	62272.26012
944	62272.25772
945	62272.24619
946	62272.24221
947	62272.23988
948	62272.2376
949	62272.22602
950	62272.22376
951	62272.22155
952	62272.21073
953	62272.20705
954	62272.2049
955	62272.2028
956	62272.19236
957	62272.18887
958	62272.18683
959	62272.18482
960	62272.17116
961	62272.16101
962	62272.15904
963	62272.1571
964	62272.14763
965	62272.14445
966	62272.14258
967	62272.14074
968	62272.13159
969	62272.12977
970	62272.12799
971	62272.11871
972	62272.11578
973	62272.11404
974	62272.10242
975	62272.10074
976	62272.09243
977	62272.09076
978	62272.08913
979	62272.08075
980	62272.07808
981	62272.07649
982	62272.07493
983	62272.06713
984	62272.0646
985	62272.05439
986	62272.05338
987	62272.05188
988	62272.05042
989	62272.04899
990	62272.04171
991	62272.04029
992	62272.03294
993	62272.03064
994	62272.02141
995	62272.02049
996	62272.01829
997	62272.01696
998	62272.00813
999	62272.00725
