Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2023.01.31.,LG헬로비전,,"[이슈&피플]홍성군, 치매 자원봉사자 모집",,,http://news.lghellovision.net/news/articleView.html?idxno=402398,http://news.lghellovision.net/
2023.01.31.,매일신문,,"대구 서구의회, 노인복지관에서 급식 봉사활동",,,https://news.imaeil.com/page/view/2023013115515545255,http://www.imaeil.com/
2023-01-31 15:58:01,조세일보,,"미래에셋생명 임직원 봉사단, 독거노인에 ‘희망드림 장바구니’ 전달","[ 서구복지관 찾아 급식 봉사    31일 대구 서구의회 의원 8명이 서구노인복지관을 방문해 급식 봉사활동을 했다. 서구의회 제공.31일 대구 서구의회(의장 김진출) 의원봉사단(단장 이금태)이 서구노인복지관에서 복지관을 이용하는 어르신 150여 명을 대상으로 급식 봉사활동을 했다.김진출 의장을 비롯한 의원 8명은 오전 약 1시간 동안 점심식사 배식과 설거지를 도왔다.봉사활동을 마친 뒤에는 30분 정도 간담회를 마련해 복지관에 필요한 서비스 등 현장 목소리를 들었다. 복지관 관계자들은 프로그램에 대한 지원 등 운영의 어려움을 이야기했다.김진출 의장은 ""새해를 맞아 서구 어르신을 위한 급식봉사를 겸해 소통의 자리를 마련했다""며 ""새해에도 봉사활동을 통해 나눔을 실천하면서 구민 목소리를 경청해 의정활동에 반영하도록 힘쓰겠다""고 말했다.한편 서구의회 의원봉사단은 지난해 9월말 발대식을 열고 분기별 1회 이상 자원봉사를 하고 있다. ]",[],http://www.joseilbo.com/news/news_read.php?uid=477026&class=18&grp=,https://n.news.naver.com/mnews/article/088/0000796098?sid=004
2023.01.30.,뉴시스,,"함평군, 노인 종합복지 예산 580억원 편성",,,http://www.newsis.com/view/?id=NISX20230130_0002173790&cID=10809&pID=10800,http://www.joseilbo.com/
2023-01-30 10:05:01,이뉴스투데이,경제,"광양제철소, 봉사단 직접 제작한 뜨개제품 지역사회에 전달","[     ◆…미래에셋생명은 지난 27일 서울 마포노인종합복지관에서 임직원 20여 명이 참여한 가운데 마포구 저소득층 독거노인들을 대상으로 선물세트를 전달하고 안부를 살피는 ‘희망드림 장바구니’ 봉사활동을 진행했다. 이미지=미래에셋생명 제공미래에셋생명은 지난 27일 서울 마포노인종합복지관에서 임직원 20여 명이 참여한 가운데 마포구 저소득층 독거노인들을 대상으로 선물세트를 전달하고 안부를 살피는 ‘희망드림 장바구니’ 봉사활동을 진행했다고 30일 밝혔다.   미래에셋생명 임직원 봉사자들은 거동이 불편한 노인들이 희망하는 과일, 한과, 김, 잡곡 등 음식 재료를 마트에서 직접 장을 보며 구매했다. 이어 2인 1조로 나눠 노인들의 자택을 방문해 장바구니를 전달하고 안부를 살피며 즐거운 시간을 보냈다.   황병욱 미래에셋생명 홍보실장은 “연초 분위기에 자칫 소외될 수 있는 이웃 어르신들을 찾아 효의 의미를 되살리고 감사의 마음을 전달할 수 있어서 기쁘다”며 “미래에셋생명은 사랑 실천과 상부상조라는 생명보험업의 본질에 입각해 적극적인 사회공헌 활동으로 보험업의 본질인 이웃 사랑을 전하도록 노력하겠다”고 말했다.   조경혜 마포노인종합복지관 사회복지사는 “미래에셋생명은 주기적으로 관내 거동이 불편한 재가 노인들에게 꼭 필요한 물품을 적절히 제공해 주는 등 다양한 봉사활동으로 큰 힘이 되고 있다”며 “미래에셋생명의 지속적인 봉사활동이 지역사회에 실질적인 도움이 되고 보험업의 따뜻한 면모를 느낄 수 있는 계기가 된다”고 밝혔다.   한편 미래에셋생명은 ‘배려가 있는 따뜻한 자본주의의 실천’이라는 구호 아래 미래에셋 박현주재단과 연계해 사회공헌 활동에 앞장서고 있다.   특히 서울대치과병원과 함께 경제적 어려움으로 치과진료를 받지 못하는 노인을 위해 서울대치과병원 의료진이 직접 현장을 찾는 ‘찾아가는 치과 서비스’ 등 ESG경영 차원에서 다양한 소외이웃 돕기 복지사업을 진행하고 있다.   이러한 공로를 인정받아 지난해 12월 보건복지부가 주최한 ‘2022년 사랑 나눔의 장(場)’ 행사에서 독거노인보호 유공단체로 선정돼 보건복지부장관 표창을 수상했다.   ]",[],http://www.enewstoday.co.kr/news/articleView.html?idxno=1634261,https://n.news.naver.com/mnews/article/123/0002296112?sid=101
2023.01.31.,세정신문,,"서울세무사회 드림봉사단, 설 명절 직후 배식 봉사활동",,,http://www.taxtimes.co.kr/news/article.html?no=258270,http://www.newsis.com
2023-01-30 10:49:47,기호일보,사회,"가평소방서, 저소득층·홀몸노인 가구에 연탄 나눔 봉사활동","[ 기사내용 요약AI로봇·경로당 지원·돌봄서비스 등 확대노인일자리 11.3% 증가·1670명 일자리    전남 함평군청[함평=뉴시스]맹대환 기자 = 전남 함평군은 올해 노인복지 예산 580억원을 편성해 노인들이 건강하고 행복한 노후생활을 영위할 수 있도록 노인정책을 확대한다고 30일 밝혔다.올해 신규사업으로 독거노인 인공지능(AI) 반려로봇 사업과 노인학대 예방을 위한 노인요양시설 CCTV 설치 지원 사업을 추진한다.올해부터 기초연금이 전년대비 5.1% 인상됨에 따라 노인 1인 가구는 최대 32만3180원, 부부 가구는 최대 51만7080원을 지급 받는다. 경로당 지원도 확대한다. 경로당 회장을 지역봉사지도원으로 위촉해 활동비를 지원하는 한편 다양한 경로당 활성화 프로그램을 운영할 방침이다. 취약계층 노인을 위한 맞춤형 돌범서비스 대상을 확대하고, 수행인력 처우 개선을 위해 매월 10만원의 교통비를 지원한다. 독거노인 중증장애인 가정에 응급장비 설치를 지원하는 응급안전안심서비스도 운영한다. 노인들의 안정적인 사회활동 지원을 위해 전년대비 11.3% 증가한 1670명에게 노인일자리를 제공한다경로식당을 7곳에서 9곳으로 확대하고, 감염병 등으로 식당을 이용하지 못하는 노인을 위해 도시락을 배달한다.장사문화 개선을 위해 화장에 소요되는 비용을 전년대비 10만원 증가한 20만원을 지원한다.함평군 관계자는 ""어르신들이 건강하고 활기찬 노후 생활을 영위할 수 있도록 보다 다양한 노인복지 시책을 발굴하고 추진하겠다""고 말했다. ]",[],http://www.kihoilbo.co.kr/news/articleView.html?idxno=1014706,https://n.news.naver.com/mnews/article/003/0011664429?sid=102
2023.01.30.,전북도민일보,,"전북교육포럼, '사랑의 연탄배달 봉사활동'",,,http://www.domin.co.kr/news/articleView.html?idxno=1412355,http://www.enewstoday.co.kr/
2023.01.29.,일간스포츠,,"안산, 골(Goal) 때리는 그린널스(Nurses)와 봉사활동 실시",,,https://isplus.com/article/view/isp202301290035,http://www.taxtimes.co.kr/
2023.01.31.,경남도민신문,,남해읍 독거노인 주거환경개선 봉사 실시,,,http://www.gndomin.com/news/articleView.html?idxno=341462,http://www.kihoilbo.co.kr/
2023.01.30.,뉴시스,,"[울산소식]남구, 노인일자리·사회활동 지원사업 발대식 등",,,http://www.newsis.com/view/?id=NISX20230130_0002174441&cID=10814&pID=10800,http://www.newsis.com
