,제목
310000,1
310001,1
310002,1
310003,1
310004,1
310005,1
310006,1
310007,1
310008,2
310009,1
310010,1
310011,1
310012,1
310013,2
310014,1
310015,1
310016,1
310017,1
310018,1
310019,1
310020,1
310021,1
310022,1
310023,1
310024,2
310025,2
310026,2
310027,1
310028,1
310029,1
310030,1
310031,1
310032,2
310033,2
310034,2
310035,2
310036,2
310037,1
310038,2
310039,1
310040,1
310041,1
310042,1
310043,2
310044,1
310045,1
310046,2
310047,2
310048,2
310049,1
310050,1
310051,1
310052,1
310053,1
310054,1
310055,2
310056,2
310057,2
310058,1
310059,1
310060,2
310061,1
310062,1
310063,1
310064,1
310065,2
310066,2
310067,1
310068,1
310069,2
310070,1
310071,1
310072,1
310073,1
310074,2
310075,1
310076,1
310077,1
310078,1
310079,1
310080,1
310081,1
310082,1
310083,1
310084,1
310085,1
310086,1
310087,1
310088,1
310089,1
310090,1
310091,2
310092,1
310093,2
310094,1
310095,2
310096,1
310097,1
310098,2
310099,2
310100,1
310101,1
310102,2
310103,1
310104,1
310105,1
310106,2
310107,1
310108,1
310109,2
310110,2
310111,1
310112,1
310113,2
310114,1
310115,1
310116,2
310117,1
310118,1
310119,1
310120,1
310121,1
310122,1
310123,2
310124,2
310125,1
310126,2
310127,1
310128,1
310129,1
310130,1
310131,1
310132,1
310133,1
310134,2
310135,2
310136,2
310137,1
310138,2
310139,2
310140,2
310141,1
310142,2
310143,1
310144,1
310145,1
310146,1
310147,2
310148,1
310149,1
310150,2
310151,2
310152,1
310153,1
310154,2
310155,2
310156,1
310157,1
310158,1
310159,1
310160,1
310161,1
310162,1
310163,1
310164,1
310165,1
310166,1
310167,2
310168,1
310169,1
310170,2
310171,1
310172,1
310173,1
310174,1
310175,1
310176,1
310177,1
310178,1
310179,2
310180,1
310181,1
310182,1
310183,1
310184,1
310185,1
310186,1
310187,1
310188,2
310189,1
310190,1
310191,1
310192,1
310193,1
310194,1
310195,1
310196,1
310197,1
310198,1
310199,1
310200,2
310201,1
310202,1
310203,1
310204,1
310205,2
310206,1
310207,1
310208,1
310209,1
310210,1
310211,1
310212,1
310213,1
310214,1
310215,1
310216,1
310217,1
310218,1
310219,1
310220,1
310221,2
310222,2
310223,2
310224,1
310225,1
310226,1
310227,1
310228,2
310229,1
310230,1
310231,1
310232,1
310233,1
310234,1
310235,1
310236,2
310237,2
310238,2
310239,1
310240,2
310241,1
310242,1
310243,2
310244,2
310245,1
310246,2
310247,1
310248,2
310249,1
310250,2
310251,2
310252,2
310253,2
310254,2
310255,1
310256,2
310257,1
310258,2
310259,1
310260,2
310261,2
310262,2
310263,2
310264,1
310265,2
310266,1
310267,2
310268,1
310269,1
310270,1
310271,2
310272,1
310273,1
310274,1
310275,2
310276,1
310277,2
310278,1
310279,2
310280,1
310281,1
310282,1
310283,1
310284,1
310285,1
310286,1
310287,1
310288,1
310289,1
310290,2
310291,2
310292,2
310293,2
310294,2
310295,2
310296,1
310297,1
310298,2
310299,1
310300,1
310301,1
310302,1
310303,1
310304,1
310305,1
310306,1
310307,1
310308,1
310309,1
310310,1
310311,1
310312,1
310313,1
310314,1
310315,1
310316,1
310317,1
310318,1
310319,1
310320,2
310321,1
310322,1
310323,1
310324,1
310325,1
310326,1
310327,1
310328,1
310329,1
310330,2
310331,1
310332,1
310333,2
310334,2
310335,1
310336,1
310337,2
310338,1
310339,1
310340,1
310341,1
310342,2
310343,2
310344,1
310345,1
310346,2
310347,1
310348,1
310349,1
310350,2
310351,1
310352,1
310353,1
310354,1
310355,1
310356,2
310357,2
310358,1
310359,2
310360,2
310361,1
310362,2
310363,1
310364,1
310365,1
310366,2
310367,1
310368,2
310369,1
310370,2
310371,1
310372,2
310373,1
310374,1
310375,1
310376,1
310377,1
310378,1
310379,1
310380,1
310381,1
310382,1
310383,1
310384,1
310385,1
310386,1
310387,1
310388,1
310389,2
310390,1
310391,2
310392,2
310393,2
310394,1
310395,2
310396,2
310397,1
310398,1
310399,2
310400,1
310401,1
310402,2
310403,2
310404,1
310405,2
310406,2
310407,1
310408,1
310409,1
310410,1
310411,1
310412,2
310413,1
310414,1
310415,1
310416,1
310417,1
310418,1
310419,1
310420,2
310421,1
310422,2
310423,1
310424,1
310425,1
310426,1
310427,1
310428,2
310429,1
310430,1
310431,1
310432,1
310433,1
310434,1
310435,2
310436,1
310437,2
310438,1
310439,2
310440,1
310441,1
310442,1
310443,1
310444,2
310445,1
310446,1
310447,2
310448,2
310449,1
310450,2
310451,1
310452,2
310453,2
310454,1
310455,2
310456,1
310457,1
310458,2
310459,2
310460,2
310461,1
310462,2
310463,2
310464,2
310465,2
310466,1
310467,2
310468,1
310469,1
310470,1
310471,2
310472,2
310473,2
310474,1
310475,2
310476,1
310477,2
310478,1
310479,2
310480,2
310481,1
310482,2
310483,2
310484,1
310485,1
310486,1
310487,1
310488,1
310489,1
310490,1
310491,2
310492,2
310493,2
310494,1
310495,1
310496,1
310497,1
310498,2
310499,2
310500,1
310501,1
310502,1
310503,1
310504,1
310505,2
310506,1
310507,1
310508,2
310509,2
310510,1
310511,1
310512,1
310513,1
310514,1
310515,2
310516,2
310517,1
310518,1
310519,2
310520,1
310521,1
310522,1
310523,1
310524,1
310525,1
310526,1
310527,1
310528,1
310529,2
310530,2
310531,2
310532,1
310533,1
310534,2
310535,1
310536,1
310537,2
310538,1
310539,2
310540,1
310541,2
310542,1
310543,1
310544,1
310545,2
310546,1
310547,1
310548,1
310549,1
310550,1
310551,1
310552,2
310553,1
310554,1
310555,1
310556,2
310557,1
310558,2
310559,2
310560,1
310561,1
310562,2
310563,1
310564,1
310565,1
310566,1
310567,1
310568,1
310569,1
310570,1
310571,2
310572,1
310573,2
310574,1
310575,1
310576,1
310577,1
310578,1
310579,1
310580,1
310581,1
310582,1
310583,2
310584,2
310585,2
310586,1
310587,1
310588,1
310589,1
310590,1
310591,1
310592,1
310593,1
310594,1
310595,1
310596,1
310597,1
310598,1
310599,1
310600,1
310601,1
310602,1
310603,1
310604,1
310605,1
310606,1
310607,1
310608,2
310609,1
310610,1
310611,1
310612,1
310613,1
310614,1
310615,1
310616,1
310617,1
310618,1
310619,1
310620,1
310621,1
310622,2
310623,1
310624,1
310625,1
310626,1
310627,1
310628,1
310629,2
310630,1
310631,2
310632,1
310633,1
310634,1
310635,2
310636,1
310637,1
310638,1
310639,1
310640,2
310641,1
310642,2
310643,2
310644,1
310645,1
310646,1
310647,1
310648,1
310649,2
310650,1
310651,1
310652,1
310653,1
310654,1
310655,1
310656,1
310657,1
310658,1
310659,1
310660,1
310661,1
310662,1
310663,1
310664,1
310665,1
310666,1
310667,1
310668,1
310669,2
310670,1
310671,2
310672,1
310673,2
310674,2
310675,1
310676,2
310677,1
310678,1
310679,1
310680,1
310681,2
310682,1
310683,1
310684,2
310685,2
310686,1
310687,1
310688,1
310689,2
310690,1
310691,2
310692,1
310693,2
310694,1
310695,1
310696,2
310697,2
310698,1
310699,1
310700,1
310701,1
310702,1
310703,1
310704,1
310705,2
310706,1
310707,1
310708,2
310709,1
310710,1
310711,2
310712,1
310713,1
310714,2
310715,1
310716,1
310717,2
310718,1
310719,2
310720,2
310721,1
310722,2
310723,1
310724,1
310725,2
310726,1
310727,1
310728,1
310729,2
310730,2
310731,2
310732,1
310733,2
310734,1
310735,1
310736,1
310737,1
310738,2
310739,2
310740,2
310741,1
310742,1
310743,1
310744,1
310745,1
310746,2
310747,2
310748,1
310749,1
310750,2
310751,2
