,제목
210000,2
210001,1
210002,1
210003,1
210004,1
210005,1
210006,2
210007,1
210008,2
210009,2
210010,2
210011,1
210012,1
210013,1
210014,1
210015,1
210016,2
210017,1
210018,1
210019,2
210020,2
210021,1
210022,1
210023,1
210024,1
210025,1
210026,1
210027,2
210028,2
210029,2
210030,1
210031,2
210032,1
210033,2
210034,1
210035,2
210036,2
210037,2
210038,1
210039,1
210040,2
210041,1
210042,2
210043,1
210044,2
210045,1
210046,2
210047,1
210048,2
210049,2
210050,2
210051,2
210052,2
210053,1
210054,2
210055,2
210056,1
210057,1
210058,2
210059,1
210060,2
210061,2
210062,2
210063,1
210064,2
210065,1
210066,2
210067,2
210068,1
210069,2
210070,2
210071,1
210072,1
210073,1
210074,1
210075,1
210076,2
210077,2
210078,2
210079,2
210080,2
210081,2
210082,1
210083,1
210084,1
210085,1
210086,2
210087,2
210088,1
210089,2
210090,2
210091,1
210092,2
210093,1
210094,1
210095,2
210096,2
210097,1
210098,2
210099,1
210100,2
210101,2
210102,1
210103,2
210104,2
210105,1
210106,1
210107,2
210108,1
210109,2
210110,1
210111,2
210112,2
210113,1
210114,2
210115,2
210116,1
210117,2
210118,1
210119,2
210120,2
210121,1
210122,2
210123,2
210124,2
210125,1
210126,1
210127,2
210128,2
210129,2
210130,2
210131,1
210132,1
210133,2
210134,1
210135,1
210136,1
210137,2
210138,1
210139,1
210140,2
210141,2
210142,1
210143,2
210144,2
210145,1
210146,2
210147,1
210148,2
210149,1
210150,1
210151,1
210152,2
210153,2
210154,2
210155,2
210156,2
210157,1
210158,2
210159,2
210160,2
210161,2
210162,1
210163,1
210164,1
210165,1
210166,2
210167,2
210168,2
210169,2
210170,1
210171,2
210172,1
210173,1
210174,1
210175,2
210176,2
210177,1
210178,1
210179,2
210180,2
210181,1
210182,2
210183,2
210184,2
210185,2
210186,2
210187,1
210188,1
210189,2
210190,1
210191,2
210192,2
210193,2
210194,1
210195,1
210196,1
210197,1
210198,1
210199,1
210200,1
210201,2
210202,1
210203,1
210204,2
210205,1
210206,2
210207,2
210208,2
210209,2
210210,2
210211,2
210212,1
210213,2
210214,2
210215,1
210216,2
210217,1
210218,2
210219,2
210220,2
210221,2
210222,2
210223,1
210224,2
210225,2
210226,1
210227,1
210228,2
210229,1
210230,2
210231,1
210232,2
210233,1
210234,1
210235,2
210236,1
210237,2
210238,1
210239,1
210240,2
210241,2
210242,2
210243,2
210244,2
210245,1
210246,1
210247,1
210248,1
210249,2
210250,2
210251,2
210252,1
210253,2
210254,2
210255,2
210256,2
210257,1
210258,1
210259,2
210260,1
210261,1
210262,1
210263,2
210264,1
