,제목
120000,1
120001,1
120002,1
120003,1
120004,1
120005,1
120006,1
120007,1
120008,1
120009,2
120010,1
120011,1
120012,1
120013,1
120014,1
120015,2
120016,1
120017,1
120018,2
120019,1
120020,2
120021,1
120022,1
120023,2
120024,1
120025,1
120026,1
120027,1
120028,1
120029,1
120030,2
120031,1
120032,2
120033,1
120034,1
120035,1
120036,1
120037,1
120038,2
120039,2
120040,1
120041,1
120042,2
120043,2
120044,2
120045,1
120046,1
120047,2
120048,1
120049,1
120050,1
120051,2
120052,1
120053,2
120054,1
120055,2
120056,2
120057,2
120058,2
120059,2
120060,2
120061,2
120062,2
120063,1
120064,1
120065,2
120066,1
120067,2
120068,2
120069,1
120070,2
120071,1
120072,2
120073,2
120074,1
120075,1
120076,1
120077,2
120078,1
120079,1
120080,2
120081,2
120082,1
120083,1
120084,2
120085,2
120086,1
120087,1
120088,1
120089,1
120090,2
120091,2
120092,1
120093,2
120094,2
120095,2
120096,1
120097,2
120098,2
120099,2
120100,1
120101,1
120102,1
120103,2
120104,2
120105,2
120106,1
120107,2
120108,2
120109,2
120110,1
120111,2
120112,2
120113,1
120114,1
120115,2
120116,1
120117,2
120118,1
120119,2
120120,1
120121,2
120122,1
120123,2
120124,1
120125,2
120126,1
120127,2
120128,2
120129,2
120130,2
120131,1
120132,2
120133,1
120134,1
120135,1
120136,2
120137,2
120138,1
120139,2
120140,1
120141,2
120142,2
120143,2
120144,2
120145,1
120146,1
120147,1
120148,1
120149,2
120150,1
120151,1
120152,1
120153,1
120154,1
120155,1
120156,2
120157,2
120158,2
120159,1
120160,1
120161,1
120162,2
120163,1
120164,1
120165,1
120166,2
120167,1
120168,1
120169,1
120170,1
120171,2
120172,1
120173,2
120174,2
120175,1
120176,1
120177,1
120178,2
120179,2
120180,2
120181,2
120182,1
120183,1
120184,2
120185,2
120186,2
120187,1
120188,2
120189,2
120190,2
120191,1
120192,2
120193,1
120194,2
120195,1
120196,2
120197,2
120198,2
120199,2
120200,1
120201,2
120202,1
120203,2
120204,2
120205,1
120206,1
120207,1
120208,1
120209,2
120210,1
120211,2
120212,1
120213,1
120214,2
120215,1
120216,1
120217,1
120218,2
120219,1
120220,1
120221,2
120222,2
120223,1
120224,2
120225,2
120226,2
120227,2
120228,1
120229,1
120230,1
120231,2
120232,1
120233,2
120234,1
120235,1
120236,1
120237,2
120238,2
120239,1
120240,1
120241,1
120242,1
120243,1
120244,2
120245,2
120246,1
120247,2
120248,1
120249,2
120250,2
120251,1
120252,1
120253,2
120254,1
120255,1
120256,1
120257,2
120258,2
120259,2
120260,2
120261,1
120262,2
120263,1
120264,2
120265,1
120266,1
120267,1
120268,1
120269,1
120270,1
120271,1
120272,1
120273,1
120274,2
120275,1
120276,1
120277,1
120278,1
120279,1
120280,1
120281,1
120282,2
120283,2
120284,2
120285,2
120286,1
120287,1
120288,1
120289,2
120290,2
120291,2
120292,2
120293,1
120294,1
120295,1
120296,2
120297,1
120298,1
120299,2
120300,1
120301,1
120302,1
120303,2
120304,1
120305,1
120306,2
120307,1
120308,2
120309,2
120310,1
120311,1
120312,2
120313,2
120314,1
120315,2
120316,2
120317,2
120318,2
120319,2
120320,2
120321,1
120322,2
120323,2
120324,1
120325,2
120326,1
120327,1
120328,2
120329,2
120330,1
120331,1
120332,1
120333,2
120334,2
120335,1
120336,1
120337,2
120338,2
120339,2
120340,1
120341,2
120342,1
120343,1
120344,2
120345,1
120346,1
120347,2
120348,2
120349,1
120350,1
120351,1
120352,1
120353,1
120354,2
120355,1
120356,1
120357,2
120358,2
120359,1
120360,1
120361,2
120362,1
120363,1
120364,1
120365,2
120366,1
120367,2
120368,1
120369,1
120370,1
120371,1
120372,1
120373,1
120374,1
120375,1
120376,2
120377,2
120378,2
120379,1
120380,2
120381,1
120382,1
120383,1
120384,2
120385,2
120386,2
120387,1
120388,1
120389,1
120390,2
120391,1
120392,1
120393,2
120394,1
120395,1
120396,1
120397,1
120398,2
120399,2
120400,2
120401,1
120402,1
120403,1
120404,1
120405,1
120406,1
120407,1
120408,1
120409,1
120410,2
120411,2
120412,2
120413,2
120414,1
120415,2
120416,1
120417,2
120418,1
120419,1
120420,2
120421,1
120422,1
120423,2
120424,1
120425,1
120426,1
120427,1
120428,2
120429,1
120430,2
120431,1
120432,2
120433,2
120434,1
120435,1
120436,2
120437,2
120438,2
120439,2
120440,1
120441,1
120442,2
120443,1
120444,2
120445,1
120446,1
120447,2
120448,2
120449,2
120450,1
120451,2
120452,1
120453,1
120454,1
120455,1
120456,2
120457,2
120458,2
120459,1
120460,1
120461,1
120462,2
120463,2
120464,2
120465,2
120466,2
120467,1
120468,2
120469,2
120470,2
120471,2
120472,1
120473,2
120474,1
120475,1
120476,2
120477,1
120478,1
120479,2
120480,1
120481,1
120482,2
120483,1
120484,1
120485,2
120486,2
120487,2
120488,1
120489,1
120490,2
120491,1
120492,2
120493,1
120494,2
120495,1
120496,1
120497,1
120498,2
120499,1
120500,1
120501,1
120502,1
120503,2
120504,1
120505,2
120506,1
120507,1
120508,1
120509,1
120510,1
120511,1
120512,1
120513,1
120514,1
120515,2
120516,2
120517,1
120518,1
120519,1
120520,1
120521,1
120522,1
120523,2
120524,2
120525,2
120526,2
120527,1
120528,2
120529,1
120530,1
120531,2
120532,1
120533,2
120534,2
120535,2
120536,2
120537,2
120538,1
120539,2
120540,2
120541,2
120542,2
120543,1
120544,1
120545,1
120546,2
120547,1
120548,1
120549,2
120550,1
120551,2
120552,1
120553,1
120554,1
120555,2
120556,2
120557,1
120558,1
120559,1
120560,2
120561,1
120562,1
120563,1
120564,2
120565,2
120566,1
120567,2
120568,1
120569,1
120570,1
120571,1
120572,2
120573,2
120574,1
120575,2
120576,2
120577,1
120578,2
120579,2
120580,2
120581,1
120582,1
120583,2
120584,1
120585,1
120586,2
120587,1
120588,2
120589,2
120590,1
120591,1
120592,1
120593,1
120594,1
120595,1
120596,2
120597,1
120598,2
120599,2
120600,2
120601,1
120602,2
120603,2
120604,2
120605,2
120606,2
120607,1
120608,2
120609,1
120610,1
120611,2
120612,2
120613,2
120614,1
120615,1
120616,2
120617,2
120618,2
120619,1
120620,2
