year,word,score
2013,노인,78.01089022440448
2013,치매,70.1158070628084
2013,한국,65.33365954084444
2013,출시,64.84537947772127
2013,시대,58.54828973181339
2013,고령화,53.694459021373675
2013,노후,52.82093969264264
2013,만원,51.10046793335433
2013,mbn포토,48.780109468561534
2013,은퇴,46.949735522975004
2013,일자리,46.10312634564031
2013,국민연금,44.17982539785246
2013,보장,42.9746468488358
2013,재테크,42.52996284101269
2013,사설,41.989713156150934
2013,위한,40.60582769757454
2013,보험,39.83125032873386
2013,인생,39.28879331522675
2013,만명,37.12143252801107
2013,연금,36.83378273510802
2013,세시대,34.05077126042957
2013,포토,32.786002206478734
2013,투자,32.68715952459601
2013,건강한,32.37231176366421
2013,재취업,31.64179283538189
2013,칼럼,31.338390289244877
2013,아파트,30.868007364176215
2013,건강,30.787547944979696
2013,지원,30.39488366249208
2013,확대,29.821513507833338
2013,부동산,29.1232616634931
2013,글로벌,28.205570400318045
2013,기업,28.09022051690599
2013,일본,28.075947646218918
2013,인기,28.015428396654546
2013,여성,27.853976035959292
2013,치료,27.564701895974736
2013,세대,27.469001195662678
2013,우리투자증권,27.39296042002273
2013,mbn,26.78515347638799
2013,정부,26.480177022994646
2013,환자,26.41733743420229
2013,급증,25.963155846379525
2013,베이비부머,25.680228627352662
2013,보험이야기,25.58974777598922
2013,경제,25.327187351601392
2013,시론,25.3183115127998
2013,없다,25.028726022536574
2013,년간,24.424682476058294
2013,행복한,24.26689452860747
2013,서울,24.171181838708197
2013,세대공감,23.989687390083287
2013,정년,23.752583138441047
2013,다시,23.65437751265238
2013,세까지,23.64301324155813
2013,소득,23.611950212421586
2013,사회,23.433130243727344
2013,기고,23.337714923436938
2013,암보험,23.14115036522612
2013,최대,22.733268958431097
2013,걱정,22.25547155302202
2013,퇴직연금,22.248358624616678
2013,가족,21.90248308063804
2013,복지,21.742172838940665
2013,세계,21.54712265966554
2013,상품,21.508240392502447
2013,회장,21.044450121264425
2013,눈길,20.865050085148553
2013,창업,20.841321594521457
2013,혜택,20.762670938808796
2013,대표,20.752468162960472
2013,위해,20.747535980293854
2013,상품도,20.726646897477774
2013,moneylife이런,20.726646897477774
2013,효과,20.1021398018232
2013,기초연금,20.081657391526033
2013,최고,19.913649742798587
2013,정보,19.5321428878164
2013,억원,19.375421628516566
2013,대비,19.36526776296259
2013,내년,19.292599867752788
2013,오늘의,19.2579069382374
2013,서비스,18.882286945197823
2013,인사,18.714841048241983
2013,가입,18.7102247239214
2013,전문가,18.70227509988463
2013,고민,18.49573520339477
2013,돌파,18.392295724037847
2013,가능,18.378756945354862
2013,기부,18.34011678326885
2013,부담,18.265463092951194
2013,실시,18.147789421590392
2013,준비,18.084488771993534
2013,간병보험,18.035455744105317
2013,수익률,18.008413997115014
2013,한혜경의,17.920252240663096
2013,건보,17.88406245008502
2013,리모델링,17.844678949722358
2013,주택연금,17.758962091969703
2013,대한민국,17.36169777470941
2013,서울시,17.311182580590906
2013,한화생명,17.279342761453407
2013,년새,17.241401260141686
2013,명품부모님보험,17.231539679673336
2013,만에,17.179266618528064
2013,이유,17.15318996992799
2013,받는,17.015661153246242
2013,우울증,17.012165754536714
2013,문제,17.00755289003654
2013,있는,16.95243437500318
2013,맞춤형,16.90039137435795
2013,분양,16.8188471973217
2013,없어,16.77207886967113
2013,이야기,16.742114644985048
2013,노인들,16.662769291769408
2013,독거노인,16.63679462462783
2013,국민,16.60232663450773
2013,필요,16.57361281018038
2013,aig,16.53511637110613
2013,기자의,16.438301807380913
2013,한경,16.398290331231475
2013,년째,16.238905585110576
2013,판매,16.22624109179953
2013,없는,16.08503282218871
2013,논란,16.070201636460194
2013,부모님,16.05306071738071
2013,개발,16.014924216432306
2013,개인연금,15.899393741178201
2013,가구,15.86164344414537
2013,건강보험,15.857669065666684
2013,맞춤,15.725364653721932
2013,대박,15.709042303783242
2013,개최,15.658485971729673
2013,한경에세이,15.610224422245874
2013,뜬다,15.592082147825252
2013,매경춘추,15.456760504361437
2013,은행,15.426101568944684
2013,적용,15.398821373427388
2013,책마을,15.395810619648277
2013,의료비,15.348324393629316
2013,피부,15.168167098914338
2013,view,15.122744919049353
2013,성장,15.059868041795363
2013,자산,15.03574548481272
2013,영화,15.020485875331364
2013,연금저축,15.001265518570621
2013,센터장의,14.904165830702034
2013,정양범,14.904165830702034
2013,부부,14.828852284271496
2013,펀드,14.770650699742026
2013,치매환자,14.748905573389532
2013,저성장,14.685449900924834
2013,병원,14.637790035375339
2013,성공,14.61185355047336
2013,질병,14.5639473746626
2013,많이,14.529049629822826
2013,명중,14.524337628343753
2013,나온다,14.48272024898893
2013,트렌드,14.372663459987109
2013,대상,14.307753198662668
2013,기준,14.298791050567065
2013,인구,14.28658097404675
2013,교육,14.265584479968275
2013,임대주택,14.232103929696617
2013,좋은,14.2245336035463
2013,따뜻한,14.145182512444897
2013,늘어,14.133474245229905
2013,모집,14.06427037141031
2013,평균,14.051767391841599
2013,나이,14.025467159928365
2013,천자칼럼,14.004993514099496
2013,조원,13.992714756061668
2013,저금리,13.971164863503267
2013,고령자,13.955734069177854
2013,사장,13.930268133167287
2013,가장,13.891798453190237
2013,브리핑,13.858097424788628
2013,아니다,13.818444651963107
2013,노령연금,13.81821851366324
2013,citylife,13.758406197182062
2013,금융,13.697238505058573
2013,지급,13.680910636995574
2013,중국,13.67103042026006
2013,보장하는,13.667500163389994
2013,뉴스,13.640564869578892
2013,삼성,13.610497721120481
2013,이제는,13.543336275021721
2013,박근혜,13.537866244622236
2013,년만에,13.52843132472531
