Topic Number,제목
8,한림대동탄성심병원 교직원 끼 식사 금액 기부로 저소득가정 도와
9,4년 만의 장편 김주영 밑바닥 목소리 듣기 위해 난 오늘도 걷는다 김용출의 문학삼매경
9,이승우 공식 굿즈 등장 수익 전액 독거노인 기부 폰케이스 어디서 구매
9,수원시 태어나서 노년까지 받을 있는 생애주기별 수원시민 맞춤 안내서 제작
9,홈플러스 대면 나눔 재개 하반기 사회공헌 활동 강화 나선다
9,모두다 코로나19 위기 속 이웃 위해 나선 시민 영웅들
9,임근찬 초대 보건의료정보원장 emr 인증제 궤도 안착 최우선 목표
9,아동수당 선별의 덫 90 기준 혼란 행정비용도 부담
9,당정청 경제살리기 안간힘 올 상반기에만 예산 317조 퍼붓는다
9,거창 실종 어르신 마을 인근 풀숲서 신속 구조
9,집이라도 통반장이 뛴다 폭염 대응부터 위기가구 발굴까지이웃이 버팀목이다
10,의자에 앉은 채 2년간 사망 방치 미라로 발견 고독사의 비극
10,조카인 척 80대 독거노인 집에 10년 넘게 무단거주 60대 구속
10,인터뷰 이종원 부산환경공단 이사장 세계 최고 쾌적한 도시환경 조성 앞장
10,빈곤 취약 계층 벌금 미납자 노역 대신 사회봉사 대체 확대
10,수도권 호남 충청 행복지수 높았다 심층기획  한눈에 보는 대한민국 행복지도
10,체험형 인턴 산불 감시원 고용참사를 단기 알바로 때우려는 정부
10,내 나라 독립될 때까지 제2고향 한국서 이웃 도우며 살게요
10,뜨개실로 유명한 바늘이야기 파주 본사 복합문화공간으로 새 단장
10,미쉐린 스타 도시락 배달갑니다 코로나19 의료진과 독거노인에 전달
10,벤츠 사회공헌위 장애인 독거노인에 장갑 목도리 150개 선물
11,옆집 담배 연기에 자다가 목이 콱 금연 아파트도 괴롭다
11,연휴 코로나19 원스톱 진료 6000곳 먹는 치료제 당번약국 운영
11,모든 동네 약국 재택치료자 약 조제 먹는 코로나약 예외
11,부산시 8개 공공기관 코로나 취약계층에 성금 20억 지원
11,한파위기 서울형 긴급복지 지원 서울시 지원금 150 편성
11,lh 4개월간 임원급 급여 반납 코로나19 극복 동참
11,남영비비안 소외계층 여성 위한 유방암 전용 속옷 지원
11,kt 서울시 쪽방촌 돕기 1100가구 냉 온장고 지원
11,복지멤버십 시행 100일 21만가구 찾아 신규 복지 혜택
11,서울시 폭염 취약계층에 에어컨도 지원 최대 300만원
12,103세 치매 노모 돌본 60대 장녀 뇌사 후 4명에 새 삶 선물
12,초 중 sw 수업시간 2배 늘리고 ai 반도체에 4년간 1 투입한다
12,롯데 청소년 취약층 위한 나눔 전개 지역사회 선한 영향력 전파
12,금융 경제 교육 취업 창업역량 강화 sc제일은행 청소년 자립 도와요
12,제4회 한국 경제를 빛낸 인물 주식회사 정인 구인성 대표이사
12,리얼스토리 눈 잠 못 드는 아파트 15층 여인의 정체는
